("Эйфелева башня", "Париж, Франция")
("Музей Немо", "Амстердам, Нидерланды")
("Национальный музей", "Прага, Чехия")
("Музей Варшавского Восстания", "Варшава, Польша")
("Улица Оксфорд-стрит", "Лондон, Великобритания")
("Музей пива Гиннесс", "Дублин, Ирландия")
("Здание парламента", "Вена, Австрия")
("Музей Николы Теслы", "Белград, Сербия")
("Майдан Незалежности", "Киев, Украина")
("Площадь Испании", "Мадрид, Испания")
("Мост 25 апреля", "Лиссабон, Португалия")
("Пантеон", "Рим, Италия")
("Площадь Независимости", "Минск, Белоруссия")
("Сенатская Площадь", "Хельсинки, Финляндия")
("Национальный музей Швеции", "Стокгольм, Швеция")
("Воробьёвы горы и МГУ", "Москва, Россия")
